idx,stamp,x,y,yaw_rad
1,1781699084277.0,0.332148,-0.013322,-0.5237866979999999
2,1781699084398.0,0.332148,-0.013322,-0.5237866979999999
3,1781699084454.0,0.332148,-0.013322,-0.5237866979999999
4,1781699084500.0,0.332148,-0.013322,-0.5237866979999999
5,1781699084562.0,0.332148,-0.013322,-0.5237866979999999
6,1781699084637.0,0.332148,-0.013322,-0.5237866979999999
7,1781699084728.0,0.332148,-0.013322,-0.5237866979999999
8,1781699084848.0,0.332148,-0.013322,-0.5237866979999999
9,1781699084929.0,0.332148,-0.013322,-0.5237866979999999
10,1781699085053.0,0.332148,-0.013322,-0.5237866979999999
11,1781699085104.0,0.332152,-0.013324,-0.5237902129999998
12,1781699085167.0,0.332152,-0.013324,-0.5237902129999998
13,1781699085231.0,0.332152,-0.013324,-0.5237902129999998
14,1781699085297.0,0.332152,-0.013324,-0.5237902129999998
15,1781699085373.0,0.332152,-0.013324,-0.5237902129999998
16,1781699085437.0,0.332152,-0.013324,-0.5237902129999998
17,1781699085496.0,0.332152,-0.013324,-0.5237902129999998
18,1781699085563.0,0.332152,-0.013324,-0.5237902129999998
19,1781699085663.0,0.332152,-0.013324,-0.5237902129999998
20,1781699085772.0,0.332152,-0.013324,-0.5237902129999998
21,1781699085836.0,0.332152,-0.013324,-0.5237902129999998
22,1781699085899.0,0.332152,-0.013324,-0.5237902129999998
23,1781699085964.0,0.332152,-0.013324,-0.5237902129999998
24,1781699086030.0,0.332148,-0.013322,-0.5237909109999999
25,1781699086097.0,0.332148,-0.013322,-0.5237909109999999
26,1781699086196.0,0.332148,-0.013322,-0.5237909109999999
27,1781699086317.0,0.332148,-0.013322,-0.5237909109999999
28,1781699086370.0,0.332148,-0.013322,-0.5237909109999999
29,1781699086432.0,0.332148,-0.013322,-0.5237909109999999
30,1781699086506.0,0.332148,-0.013322,-0.5237909109999999
31,1781699086565.0,0.332148,-0.013322,-0.5237909109999999
32,1781699086638.0,0.332148,-0.013322,-0.5237909109999999
33,1781699086706.0,0.332148,-0.013322,-0.5237909109999999
34,1781699086797.0,0.332148,-0.013322,-0.5237909109999999
35,1781699086931.0,0.332148,-0.013322,-0.5237909109999999
36,1781699087044.0,0.332161,-0.01333,-0.523786351
37,1781699087106.0,0.332161,-0.01333,-0.523786351
38,1781699087168.0,0.332161,-0.01333,-0.523786351
39,1781699087238.0,0.332414,-0.013473,-0.508967722
40,1781699087298.0,0.332414,-0.013473,-0.508967722
41,1781699087364.0,0.337292,-0.016094,-0.4799291280000002
42,1781699087430.0,0.34876,-0.021917,-0.45348738099999997
43,1781699087530.0,0.359615,-0.026981,-0.41671384999999983
44,1781699087636.0,0.359615,-0.026981,-0.41671384999999983
45,1781699087731.0,0.363874,-0.028788,-0.3939694180000002
