idx,ts_system,world_frame,base_frame,x,y,z,qx,qy,qz,qw,yaw_rad,basename,original_timestamp
0,0.000000000,map3d,camera,0.000535247,-0.000093274,-0.000475191,-0.000045663910,0.000043664742,0.000008005560,0.999999997972,0.000016007132,000000,0.000000000
1,1.000000000,map3d,camera,0.000522614,-0.000240326,0.000930786,-0.000061979229,0.000245491083,0.000137953998,0.999999958431,0.000275877591,000001,0.706293625
2,2.000000000,map3d,camera,-0.000130653,0.000049353,0.001510620,-0.000053405747,-0.000090557709,0.000053922132,0.999999993020,0.000107853938,000002,1.412587251
3,3.000000000,map3d,camera,-0.001190186,0.000499725,-0.000352859,-0.000048675336,0.000447307724,0.000219538231,0.999999874675,0.000439033052,000003,2.118880876
4,4.000000000,map3d,camera,-0.000324249,0.000782013,-0.000126839,-0.000028656229,-0.000158123711,0.000074380224,0.999999984322,0.000148769515,000004,2.825174502
5,5.000000000,map3d,camera,-0.001335144,0.002349854,0.000682831,0.000081532462,0.000126882055,0.000183265727,0.999999971834,0.000366552153,000005,3.531468127
6,6.000000000,map3d,camera,-0.000587463,0.001686096,0.001121521,0.000056080702,-0.000383226055,0.000011107982,0.999999924935,0.000022172987,000006,4.237761753
7,7.000000000,map3d,camera,-0.000629425,0.002212524,0.002182007,0.000069113252,-0.000197353015,0.000070072776,0.999999975682,0.000140118281,000007,4.944055378
8,8.000000000,map3d,camera,-0.000018827,0.012410807,0.029761840,0.001194972605,-0.098919615792,0.002115680978,0.995092460802,0.004053526692,000008,5.650349004
9,9.000000000,map3d,camera,0.013247637,0.001293719,0.091410607,0.000931675636,-0.204791833760,-0.001269117468,0.978804283882,-0.003128447335,000009,6.356642629
10,10.000000000,map3d,camera,-0.005542691,0.003810600,0.068440184,0.001303481946,-0.198891461527,-0.000766114309,0.980020357205,-0.002193671094,000010,7.062936255
11,11.000000000,map3d,camera,-0.006386144,0.003946155,0.068440184,0.001245846510,-0.198859156563,-0.000750378660,0.980026999959,-0.002135146681,000011,7.769229880
12,12.000000000,map3d,camera,-0.032371022,0.003922824,0.143322080,0.000924108958,-0.271963003334,0.001759484564,0.962305655732,0.003384322100,000012,8.475523506
13,13.000000000,map3d,camera,-0.027368855,-0.003306756,0.172292843,0.000463143886,-0.286304138028,-0.001570298877,0.958137391091,-0.003916378251,000013,9.181817131
14,14.000000000,map3d,camera,-0.067707330,0.008216308,0.241176471,0.001781390723,-0.237337236904,-0.000336603318,0.971425627274,-0.001689934338,000014,9.888110757
15,15.000000000,map3d,camera,-0.070178397,0.008154532,0.242164895,0.001947844378,-0.236721548296,-0.000323609489,0.971575529617,-0.001746783745,000015,10.594404382
16,16.000000000,map3d,camera,-0.053574912,0.002023941,0.226681411,0.001121518718,-0.235684483107,-0.000238017224,0.971828950982,-0.001115160978,000016,11.300698008
17,17.000000000,map3d,camera,-0.052860580,0.001547720,0.226681411,0.001139489317,-0.235295909550,-0.000667528238,0.971922883216,-0.002062143201,000017,12.006991633
18,18.000000000,map3d,camera,-0.080005199,0.002931738,0.276208431,0.000535708793,-0.213480133808,-0.000053242833,0.976947256842,-0.000366128991,000018,12.713285259
19,19.000000000,map3d,camera,-0.099480800,-0.003344424,0.293125987,-0.000072118624,-0.213617712346,-0.000748618696,0.976917042200,-0.001575669210,000019,13.419578884
20,20.000000000,map3d,camera,-0.115517199,0.003624587,0.351247400,0.001175644922,-0.223122569969,0.000105694930,0.974789682679,-0.000353791233,000020,14.125872510
21,21.000000000,map3d,camera,-0.139935464,0.002435957,0.401962280,0.001264842127,-0.235900297058,-0.000338153064,0.971776381517,-0.001411013971,000021,14.832166135
22,22.000000000,map3d,camera,-0.168110386,0.005546939,0.462068796,0.002962446031,-0.252974570337,0.000262812792,0.967468356901,-0.001135678729,000022,15.538459761
23,23.000000000,map3d,camera,-0.201305985,-0.004337298,0.533774495,0.003469257461,-0.281290622507,0.000838409281,0.959615989348,-0.000407053584,000023,16.244753386
24,24.000000000,map3d,camera,-0.245773628,0.003905027,0.605619431,0.004280300942,-0.299479072191,0.001398400121,0.954092243350,0.000127567234,000024,16.951047012
25,25.000000000,map3d,camera,-0.253032774,0.002527735,0.618063629,0.004230608768,-0.303363186660,0.000617460310,0.952865414249,-0.001703686635,000025,17.657340637
26,26.000000000,map3d,camera,-0.255106807,0.003483738,0.618063629,0.004484659821,-0.303266381359,0.000698641772,0.952895010829,-0.001701628077,000026,18.363634263
